scenario_id,sweep,model,aircraft_count,speed_kmh,speed_mps,building_density,building_count,vertiport_count,actual_vertiport_count,safety_distance_m,safety_label,pad_occupancy_enabled,weather,total_flights,success_flights,failed_flights,building_risk_count,building_collision_count,aircraft_collision_count,aircraft_conflict_sample_count,collision_risk_count,avg_flight_distance_m,avg_flight_time_s,avg_delay_s,avg_takeoff_pad_delay_s,avg_landing_pad_delay_s,avg_pad_delay_s,max_pad_delay_s,pad_wait_flight_count,avg_detour_distance_m,avg_altitude_changes,avg_path_changes,scenario_name,description,map_width,map_height,grid_size,road_width,fleet_size,duration_s,mission_interval_s,generated_missions,completed_within_duration,completed_after_duration,active_vehicle_count,avg_missions_per_active_vehicle,max_missions_per_vehicle,run_id,cycle,run_seed,wallclock_model
S2,continuous,B,100,240.0,66.66666666666667,0.35,572,12,12,152.4,500ft,False,disabled,1080,259,821,77,0,792,968,792,1278.0777476253243,78.01973558668752,0.0,0.0,0.0,0.0,0.0,0,0.139908694938436,0.675,0.0712962962962963,S2,중소형 확장 도시 시나리오,2000,2000,50,12,100,10800,10,1080,1073,7,100,10.8,20,S2_cycle0004_B_seed1401,4,1401,B
S2,continuous,C,100,240.0,66.66666666666667,0.35,556,12,12,152.4,500ft,False,disabled,1080,248,832,880,880,465,467,1345,1375.6708214938265,86.70450945098489,42.05555555555556,0.0,0.0,0.0,0.0,0,0.0,0.27037037037037037,0.0,S2,중소형 확장 도시 시나리오,2000,2000,50,12,100,10800,10,1080,1067,13,100,10.8,17,S2_cycle0004_C_seed1402,4,1402,C
S2,continuous,D,100,240.0,66.66666666666667,0.35,564,12,12,152.4,500ft,False,disabled,1080,489,591,68,0,408,408,408,1405.8375437150964,79.59952448908983,35.27777777777778,0.0,0.0,0.0,0.0,0,0.09698512071795386,0.7666666666666667,0.049074074074074076,S2,중소형 확장 도시 시나리오,2000,2000,50,12,100,10800,10,1080,1067,13,100,10.8,19,S2_cycle0004_D_seed1403,4,1403,D
S2,continuous,E,100,240.0,66.66666666666667,0.35,530,12,12,152.4,500ft,True,disabled,1080,296,784,61,27,1572,29563,1599,1614.5105407100973,790.6891002155924,1119.6353565998447,1093.3020232665117,661.9868266011694,1755.2888498676814,4804.809174796803,1065,0.03864245667981318,0.8361111111111111,0.044444444444444446,S2,중소형 확장 도시 시나리오,2000,2000,50,12,100,10800,10,1080,515,565,100,10.8,14,S2_cycle0004_E_seed1404,4,1404,E
S2,continuous,A,100,240.0,66.66666666666667,0.35,587,12,12,152.4,500ft,False,disabled,1080,137,943,1244,1244,736,915,1980,1036.1177126322054,63.632440101372495,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,S2,중소형 확장 도시 시나리오,2000,2000,50,12,100,10800,10,1080,1074,6,100,10.8,17,S2_cycle0005_A_seed1500,5,1500,A
S2,continuous,B,100,240.0,66.66666666666667,0.35,552,12,12,152.4,500ft,False,disabled,1080,265,815,11,0,715,894,715,1409.5092375292998,82.6652684441268,0.0,0.0,0.0,0.0,0.0,0,0.003199305089105914,0.7416666666666667,0.010185185185185186,S2,중소형 확장 도시 시나리오,2000,2000,50,12,100,10800,10,1080,1073,7,100,10.8,20,S2_cycle0005_B_seed1501,5,1501,B
S2,continuous,C,100,240.0,66.66666666666667,0.35,579,12,12,152.4,500ft,False,disabled,1080,175,905,876,876,509,510,1385,1362.1671471278364,91.01317953859677,53.5,0.0,0.0,0.0,0.0,0,0.0,0.28703703703703703,0.0,S2,중소형 확장 도시 시나리오,2000,2000,50,12,100,10800,10,1080,1066,14,100,10.8,17,S2_cycle0005_C_seed1502,5,1502,C
S2,continuous,D,100,240.0,66.66666666666667,0.35,583,12,12,152.4,500ft,False,disabled,1080,486,594,0,0,403,404,403,1556.2749602704625,89.82562173394425,36.611111111111114,0.0,0.0,0.0,0.0,0,0.0,0.7564814814814815,0.0,S2,중소형 확장 도시 시나리오,2000,2000,50,12,100,10800,10,1080,1066,14,100,10.8,17,S2_cycle0005_D_seed1503,5,1503,D
S2,continuous,E,100,240.0,66.66666666666667,0.35,566,12,12,152.4,500ft,True,disabled,1080,295,785,43,24,2180,54438,2204,1589.6983698679783,777.0964669598045,1137.0235416517671,1109.912430540656,652.6407309498871,1762.553161490543,4712.010346497197,1061,0.013499085219048421,0.825925925925926,0.03611111111111111,S2,중소형 확장 도시 시나리오,2000,2000,50,12,100,10800,10,1080,513,567,100,10.8,15,S2_cycle0005_E_seed1504,5,1504,E
S2,continuous,A,100,240.0,66.66666666666667,0.35,556,12,12,152.4,500ft,False,disabled,1080,146,934,1424,1424,617,779,2041,1294.973713533374,63.904350328339234,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,S2,중소형 확장 도시 시나리오,2000,2000,50,12,100,10800,10,1080,1072,8,100,10.8,20,S2_cycle0006_A_seed1600,6,1600,A
S2,continuous,B,100,240.0,66.66666666666667,0.35,526,12,12,152.4,500ft,False,disabled,1080,262,818,28,0,734,933,734,1278.324153329315,81.72368296518013,0.0,0.0,0.0,0.0,0.0,0,0.012816487756013881,0.5064814814814815,0.025925925925925925,S2,중소형 확장 도시 시나리오,2000,2000,50,12,100,10800,10,1080,1070,10,100,10.8,18,S2_cycle0006_B_seed1601,6,1601,B
S2,continuous,C,100,240.0,66.66666666666667,0.35,557,12,12,152.4,500ft,False,disabled,1080,146,934,1284,1284,403,403,1687,1461.6795560770663,78.5010684156875,41.888888888888886,0.0,0.0,0.0,0.0,0,0.0,0.23981481481481481,0.0,S2,중소형 확장 도시 시나리오,2000,2000,50,12,100,10800,10,1080,1068,12,100,10.8,17,S2_cycle0006_C_seed1602,6,1602,C
S2,continuous,D,100,240.0,66.66666666666667,0.35,574,12,12,152.4,500ft,False,disabled,1080,351,729,14,0,585,597,585,1338.794670580765,105.27195171065627,71.38888888888889,0.0,0.0,0.0,0.0,0,0.0034389350636329424,0.7925925925925926,0.012962962962962963,S2,중소형 확장 도시 시나리오,2000,2000,50,12,100,10800,10,1080,1060,20,100,10.8,18,S2_cycle0006_D_seed1603,6,1603,D
S2,continuous,E,100,240.0,66.66666666666667,0.35,538,12,12,152.4,500ft,True,disabled,1080,199,881,46,38,2109,23143,2147,1547.4726353745914,743.9836422752385,1142.6059989655544,1110.6615545211096,615.1923046824263,1725.853859203534,4403.679077188501,1070,0.0503598910034042,0.8537037037037037,0.03888888888888889,S2,중소형 확장 도시 시나리오,2000,2000,50,12,100,10800,10,1080,528,552,100,10.8,14,S2_cycle0006_E_seed1604,6,1604,E
