scenario_id,sweep,model,aircraft_count,speed_kmh,speed_mps,building_density,building_count,vertiport_count,actual_vertiport_count,safety_distance_m,safety_label,pad_occupancy_enabled,weather,total_flights,success_flights,failed_flights,building_risk_count,building_collision_count,aircraft_collision_count,aircraft_conflict_sample_count,collision_risk_count,avg_flight_distance_m,avg_flight_time_s,avg_delay_s,avg_takeoff_pad_delay_s,avg_landing_pad_delay_s,avg_pad_delay_s,max_pad_delay_s,pad_wait_flight_count,avg_detour_distance_m,avg_altitude_changes,avg_path_changes,scenario_name,description,map_width,map_height,grid_size,road_width,fleet_size,duration_s,mission_interval_s,generated_missions,completed_within_duration,completed_after_duration,active_vehicle_count,avg_missions_per_active_vehicle,max_missions_per_vehicle,run_id,cycle,run_seed,wallclock_model
S1,continuous,B,75,240.0,66.66666666666667,0.35,313,8,8,152.4,500ft,False,disabled,1080,132,948,71,0,1105,1425,1105,1048.4509201313342,68.4504821051212,0.0,0.0,0.0,0.0,0.0,0,0.4449018614092236,0.6101851851851852,0.0657407407407407,S1,소형 고혼잡 도시 시나리오,1500,1500,50,10,75,10800,10,1080,1073,7,75,14.4,23,S1_cycle0004_B_seed1401,4,1401,B
S1,continuous,C,75,240.0,66.66666666666667,0.35,320,8,8,152.4,500ft,False,disabled,1080,123,957,497,497,802,831,1299,1247.3740863273551,99.71779159395896,122.66666666666669,0.0,0.0,0.0,0.0,0,0.0,0.4611111111111111,0.0,S1,소형 고혼잡 도시 시나리오,1500,1500,50,10,75,10800,10,1080,1055,25,75,14.4,20,S1_cycle0004_C_seed1402,4,1402,C
S1,continuous,D,75,240.0,66.66666666666667,0.35,319,8,8,152.4,500ft,False,disabled,1080,162,918,28,4,918,983,922,968.64851757615,90.01356094962063,148.61111111111111,0.0,0.0,0.0,0.0,0,0.0810271826905131,0.6898148148148148,0.0259259259259259,S1,소형 고혼잡 도시 시나리오,1500,1500,50,10,75,10800,10,1080,1057,23,75,14.4,23,S1_cycle0004_D_seed1403,4,1403,D
S1,continuous,E,75,240.0,66.66666666666667,0.35,286,8,8,152.4,500ft,True,disabled,1080,357,723,117,30,2793,133604,2823,1349.6718277492687,1007.8955779177256,1254.0203978676664,1227.853731201,891.6915545113204,2119.5452857123228,5513.322570114149,1073,0.1457350182016582,0.8444444444444444,0.0833333333333333,S1,소형 고혼잡 도시 시나리오,1500,1500,50,10,75,10800,10,1080,352,728,75,14.4,20,S1_cycle0004_E_seed1404,4,1404,E
S1,continuous,A,75,240.0,66.66666666666667,0.35,319,8,8,152.4,500ft,False,disabled,1080,50,1030,870,870,1197,1472,2067,967.3524219633252,68.82459122248773,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,S1,소형 고혼잡 도시 시나리오,1500,1500,50,10,75,10800,10,1080,1075,5,75,14.4,26,S1_cycle0005_A_seed1500,5,1500,A
S1,continuous,B,75,240.0,66.66666666666667,0.35,320,8,8,152.4,500ft,False,disabled,1080,53,1027,43,0,1589,2053,1589,1047.9733916931057,85.94313170702581,0.0,0.0,0.0,0.0,0.0,0,0.0022529381628402,0.662962962962963,0.0398148148148148,S1,소형 고혼잡 도시 시나리오,1500,1500,50,10,75,10800,10,1080,1074,6,75,14.4,23,S1_cycle0005_B_seed1501,5,1501,B
S1,continuous,C,75,240.0,66.66666666666667,0.35,335,8,8,152.4,500ft,False,disabled,1080,226,854,532,532,603,603,1135,1096.5564264048337,86.6541803514358,69.11111111111111,0.0,0.0,0.0,0.0,0,0.0,0.35,0.0,S1,소형 고혼잡 도시 시나리오,1500,1500,50,10,75,10800,10,1080,1065,15,75,14.4,23,S1_cycle0005_C_seed1502,5,1502,C
S1,continuous,D,75,240.0,66.66666666666667,0.35,311,8,8,152.4,500ft,False,disabled,1080,297,783,95,0,646,646,646,1290.4277229253314,90.30129741225886,76.72222222222223,0.0,0.0,0.0,0.0,0,0.1424880884216008,0.6962962962962963,0.0879629629629629,S1,소형 고혼잡 도시 시나리오,1500,1500,50,10,75,10800,10,1080,1063,17,75,14.4,22,S1_cycle0005_D_seed1503,5,1503,D
S1,continuous,E,75,240.0,66.66666666666667,0.35,315,8,8,152.4,500ft,True,disabled,1080,319,761,10,11,1735,34847,1746,1146.226317487845,884.7662948294071,1327.6180754609115,1309.0069643498005,776.7965845625451,2085.803548912345,4720.0,1072,0.0368876972078615,0.8296296296296296,0.0083333333333333,S1,소형 고혼잡 도시 시나리오,1500,1500,50,10,75,10800,10,1080,352,728,75,14.4,19,S1_cycle0005_E_seed1504,5,1504,E
S1,continuous,A,75,240.0,66.66666666666667,0.35,326,8,8,152.4,500ft,False,disabled,1080,83,997,1141,1141,916,1128,2057,991.9600932452008,61.92505372332323,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,S1,소형 고혼잡 도시 시나리오,1500,1500,50,10,75,10800,10,1080,1075,5,75,14.4,22,S1_cycle0006_A_seed1600,6,1600,A
