scenario_id,sweep,model,aircraft_count,speed_kmh,speed_mps,building_density,building_count,vertiport_count,actual_vertiport_count,safety_distance_m,safety_label,weather,total_flights,success_flights,failed_flights,building_risk_count,building_collision_count,aircraft_collision_count,aircraft_conflict_sample_count,collision_risk_count,avg_flight_distance_m,avg_flight_time_s,avg_delay_s,avg_takeoff_pad_delay_s,avg_landing_pad_delay_s,avg_pad_delay_s,max_pad_delay_s,pad_wait_flight_count,avg_detour_distance_m,avg_altitude_changes,avg_path_changes
S011,building_density,A,50,240.0,66.66666666666667,0.5,208,8,8,152.4,500ft,disabled,50,2,48,39,39,88,636,127,730.6808752484967,232.1051356117691,275.7578046696683,275.7578046696683,170.1084699269734,445.86627459664174,1279.1892449649458,44,0.0,0.0,0.0
S012,vertiport_count,A,50,240.0,66.66666666666667,0.35,155,4,4,152.4,500ft,disabled,50,0,50,25,25,214,2815,239,932.8919800683185,450.96010483649064,627.9792505949897,627.9792505949897,392.45427784655584,1020.4335284415446,2475.967787673334,47,0.0,0.0,0.0
S013,vertiport_count,A,50,240.0,66.66666666666667,0.35,145,8,8,152.4,500ft,disabled,50,7,43,34,34,112,1375,146,736.6027060731611,324.2545678886667,255.89313241247908,255.89313241247908,281.58925911145445,537.4823915239335,1296.2742972156245,46,0.0,0.0,0.0
S014,vertiport_count,A,50,240.0,66.66666666666667,0.35,135,20,20,152.4,500ft,disabled,50,6,44,42,42,77,270,119,908.4942981459677,148.26313754308848,115.71198608919266,115.71198608919266,79.06414087097238,194.77612696016502,701.5818495575168,33,0.0,0.0,0.0
S015,safety_distance,A,50,240.0,66.66666666666667,0.35,126,8,8,152.4,500ft,disabled,50,1,49,61,61,131,1113,192,722.5205600102003,295.7234409096432,304.4949602037155,304.4949602037155,246.08855448795467,550.5835146916703,1282.091476755057,46,0.0,0.0,0.0
S016,safety_distance,A,50,240.0,66.66666666666667,0.35,126,8,8,30.0,30m,disabled,50,2,48,61,61,82,701,143,722.5205600102003,295.7234409096432,304.4949602037155,304.4949602037155,246.08855448795467,550.5835146916703,1282.091476755057,46,0.0,0.0,0.0
S017,model_comparison,B,50,240.0,66.66666666666667,0.35,134,8,8,152.4,500ft,disabled,50,10,40,5,0,96,434,96,918.104574354891,282.5762971817689,265.8849375816343,265.8849375816343,204.04576384807885,469.93070142971294,1351.1844257776465,45,0.1140349334961843,0.26,0.1
S018,aircraft_count,B,10,240.0,66.66666666666667,0.35,134,8,8,152.4,500ft,disabled,10,10,0,1,0,0,0,0,849.730351933628,70.7053888532349,25.161731291025923,25.161731291025923,0.0,25.161731291025923,123.03828259030024,3,1.1509573175053334,0.3,0.1
S019,aircraft_count,B,30,240.0,66.66666666666667,0.35,151,8,8,152.4,500ft,disabled,30,7,23,0,0,22,86,22,843.380487152928,171.97890711265134,113.3908007249559,113.3908007249559,105.83018528377151,219.22098600872738,592.9631373770428,25,0.0,0.36666666666666664,0.0
S020,aircraft_count,B,50,240.0,66.66666666666667,0.35,132,8,8,152.4,500ft,disabled,50,3,47,0,0,64,303,64,773.5318710066954,248.0289339560346,284.5895743387966,284.5895743387966,197.8907960773695,482.48037041616595,1133.2776324824233,45,0.0,0.36,0.0
