scenario_id,sweep,model,vertiport_id,aircraft_id,operation,start_s,end_s,duration_s,pad_delay_s
S058,building_density,D,2,40,landing,1940.931242426209,2130.931242426209,189.99999999999977,0.0
S058,building_density,D,4,41,takeoff,1953.2506422803465,1983.2506422803465,30.0,1274.2506422803465
S058,building_density,D,5,41,landing,2135.412953199929,2325.412953199929,190.0,129.99999999999977
S058,building_density,D,2,42,takeoff,476.0668329770132,506.0668329770132,30.0,151.06683297701318
S058,building_density,D,4,42,landing,943.2506422803465,1133.2506422803465,190.0,410.65981064139146
S058,building_density,D,6,43,takeoff,1101.2330375898912,1131.2330375898912,30.0,342.2330375898912
S058,building_density,D,1,43,landing,1680.501284560693,1870.501284560693,190.0,402.6485552088691
S058,building_density,D,0,44,takeoff,874.0,904.0,30.0,33.0
S058,building_density,D,3,44,landing,1480.9861121548108,1670.9861121548108,190.0,554.0021402729863
S058,building_density,D,6,45,takeoff,1011.2330375898912,1041.2330375898912,30.0,605.2330375898912
S058,building_density,D,1,45,landing,1370.501284560693,1560.501284560693,190.0,202.64855520886908
S058,building_density,D,2,46,takeoff,566.0668329770132,596.0668329770132,30.0,29.066832977013178
S058,building_density,D,5,46,landing,834.4419007983071,1024.441900798307,189.9999999999999,160.0
S058,building_density,D,2,47,takeoff,635.0,665.0,30.0,0.0
S058,building_density,D,3,47,landing,1260.9861121548108,1450.9861121548108,190.0,592.7628179783858
S058,building_density,D,0,48,takeoff,271.1443870249975,301.1443870249975,30.0,214.1443870249975
S058,building_density,D,2,48,landing,286.0668329770132,476.0668329770132,190.0,0.0
S058,building_density,D,4,49,takeoff,883.2506422803465,913.2506422803465,30.0,625.2506422803465
S058,building_density,D,1,49,landing,960.501284560693,1150.501284560693,190.0,0.0
S059,building_density,D,5,0,takeoff,123.0,153.0,30.0,18.0
S059,building_density,D,1,0,landing,324.5099672030079,514.5099672030078,189.99999999999994,166.62464368582837
S059,building_density,D,4,1,takeoff,357.0,387.0,30.0,0.0
S059,building_density,D,7,1,landing,773.0236846585227,963.0236846585227,190.0,324.95768380000806
S059,building_density,D,1,2,takeoff,880.8853235171795,910.8853235171795,30.0,45.88532351717947
S059,building_density,D,0,2,landing,1677.0082789270748,1867.0082789270748,190.0,663.0649854231974
S059,building_density,D,2,3,takeoff,77.0,107.0,30.0,0.0
S059,building_density,D,1,3,landing,134.50996720300788,324.5099672030079,190.0,0.0
S059,building_density,D,4,4,takeoff,1977.8663617119635,2007.8663617119635,30.0,951.8663617119635
S059,building_density,D,5,4,landing,2100.169315720339,2290.169315720339,190.0,86.87691134558077
S059,building_density,D,5,5,takeoff,474.0,504.0,30.0,0.0
S059,building_density,D,7,5,landing,1153.0236846585226,1343.0236846585226,190.0,563.3807513007362
S059,building_density,D,0,6,takeoff,1587.0082789270748,1617.0082789270748,30.0,703.0082789270748
S059,building_density,D,1,6,landing,1640.0662489137724,1830.0662489137724,190.0,0.0
S059,building_density,D,4,7,takeoff,844.5975942748707,874.5975942748707,30.0,429.59759427487074
S059,building_density,D,0,7,landing,901.5675615364589,1091.567561536459,190.0,0.0
S059,building_density,D,6,8,takeoff,1110.0,1140.0,30.0,0.0
S059,building_density,D,7,8,landing,1373.0236846585226,1563.0236846585226,190.0,112.39755980025006
S059,building_density,D,2,9,takeoff,1288.3952907201874,1318.3952907201874,30.0,407.3952907201874
S059,building_density,D,0,9,landing,1397.0082789270748,1587.0082789270748,190.0,0.0
S059,building_density,D,4,10,takeoff,2007.8663617119635,2037.8663617119635,30.0,1002.8663617119635
S059,building_density,D,5,10,landing,2290.169315720339,2480.169315720339,190.0,227.0969082531342
S059,building_density,D,3,11,takeoff,934.3684536229509,964.3684536229509,30.0,204.36845362295094
S059,building_density,D,4,11,landing,1027.8663617119635,1217.8663617119635,190.0,0.0
S059,building_density,D,5,12,takeoff,93.0,123.0,30.0,0.0
S059,building_density,D,6,12,landing,142.66835911374318,332.6683591137432,190.0,0.0
S059,building_density,D,4,13,takeoff,874.5975942748707,904.5975942748707,30.0,360.59759427487074
S059,building_density,D,2,13,landing,1098.3952907201874,1288.3952907201874,190.0,179.9302902192387
S059,building_density,D,0,14,takeoff,1617.0082789270748,1647.0082789270748,30.0,733.0082789270748
S059,building_density,D,3,14,landing,1717.763744343138,1907.763744343138,190.0,0.0
S059,building_density,D,4,15,takeoff,10.0,40.0,30.0,0.0
S059,building_density,D,0,15,landing,263.6129882068877,453.6129882068877,190.0,176.64302094529947
S059,building_density,D,6,16,takeoff,837.0,867.0,30.0,0.0
S059,building_density,D,3,16,landing,1018.0075652922192,1208.0075652922192,190.0,0.0
S059,building_density,D,2,17,takeoff,160.0,190.0,30.0,0.0
S059,building_density,D,0,17,landing,453.6129882068877,643.6129882068876,189.99999999999994,205.0
S059,building_density,D,1,18,takeoff,1118.0,1148.0,30.0,40.0
S059,building_density,D,6,18,landing,1167.2527076282097,1357.2527076282097,190.0,0.0
S059,building_density,D,5,19,takeoff,506.0,536.0,30.0,0.0
S059,building_density,D,1,19,landing,660.8853235171795,850.8853235171795,190.0,0.0
S059,building_density,D,1,20,takeoff,514.5099672030078,544.5099672030078,30.0,405.5099672030078
S059,building_density,D,7,20,landing,583.0236846585227,773.0236846585227,190.0,0.0
S059,building_density,D,0,21,takeoff,703.6129882068876,733.6129882068876,30.0,323.6129882068876
S059,building_density,D,5,21,landing,1149.4063343873352,1339.4063343873352,190.0,387.191591996567
S059,building_density,D,1,22,takeoff,544.5099672030078,574.5099672030078,30.0,431.5099672030078
S059,building_density,D,5,22,landing,579.4063343873352,769.4063343873352,190.0,0.0
S059,building_density,D,1,23,takeoff,574.5099672030078,604.5099672030078,30.0,415.5099672030078
S059,building_density,D,4,23,landing,624.5975942748707,814.5975942748707,190.0,0.0
S059,building_density,D,0,24,takeoff,673.6129882068876,703.6129882068876,30.0,387.6129882068876
S059,building_density,D,4,24,landing,1217.8663617119635,1407.8663617119635,190.0,367.28340624348766
S059,building_density,D,1,25,takeoff,1088.0,1118.0,30.0,0.0
S059,building_density,D,4,25,landing,1597.8663617119635,1787.8663617119635,190.0,359.7787346401003
S059,building_density,D,7,26,takeoff,17.0,47.0,30.0,0.0
S059,building_density,D,4,26,landing,88.06600085851463,278.0660008585146,189.99999999999997,0.0
S059,building_density,D,2,27,takeoff,35.0,65.0,30.0,27.0
S059,building_density,D,3,27,landing,117.33288249171659,307.3328824917166,190.0,0.0
