scenario_id,sweep,model,aircraft_id,planned_start_time,start_time,cruise_arrival_time,descent_start_time,end_time,delay_s,takeoff_pad_delay_s,landing_pad_delay_s,pad_delay_s,takeoff_pad_start_s,takeoff_pad_end_s,landing_pad_start_s,landing_pad_end_s,cruise_altitude,distance_m,detour_distance_m,building_risks,building_collisions,path_changes,altitude_changes
S001,model_comparison,A,47,133.0,355.94438916578815,401.0970124450806,401.0970124450806,435.79950051909873,222.94438916578815,222.94438916578815,0.0,222.94438916578815,355.94438916578815,385.94438916578815,425.79950051909873,615.7995005190987,300.0,908.8856964664819,0.0,1,1,0,0
S001,model_comparison,A,48,874.0,1872.1479236228417,1905.5404349437576,1905.5404349437576,1941.9175082480626,998.1479236228417,998.1479236228417,0.0,998.1479236228417,1872.1479236228417,1902.1479236228417,1931.9175082480626,2121.9175082480624,300.0,766.5690338035549,0.0,0,0,0,0
S001,model_comparison,A,49,431.0,781.1791443114744,836.3032889506505,836.3032889506505,887.5369060894285,350.1791443114744,350.1791443114744,0.0,350.1791443114744,781.1791443114744,811.1791443114744,877.5369060894285,1067.5369060894286,300.0,1364.051700007641,0.0,1,1,0,0
S002,aircraft_count,A,0,746.0,746.0,803.4691948805215,803.4691948805215,835.0382825903002,0.0,0.0,0.0,0.0,746.0,776.0,825.0382825903002,1015.0382825903002,300.0,1294.0045490691464,0.0,0,0,0,0
S002,aircraft_count,A,1,270.0,270.0,320.8823120238357,320.8823120238357,340.4766403461876,0.0,0.0,0.0,0.0,270.0,300.0,330.4766403461876,520.4766403461877,300.0,456.61422588956367,0.0,0,0,0,0
S002,aircraft_count,A,2,798.0,860.2594195798968,873.6462904062538,873.6462904062538,898.9436226465754,62.25941957989676,62.25941957989676,0.0,62.25941957989676,860.2594195798968,890.2594195798968,888.9436226465754,1078.9436226465755,300.0,394.95891734188245,0.0,1,1,0,0
S002,aircraft_count,A,3,219.0,219.0,258.8531777793673,258.8531777793673,284.1505100196888,0.0,0.0,0.0,0.0,219.0,249.0,274.1505100196888,464.1505100196888,300.0,836.6047710564103,0.0,0,0,0,0
S002,aircraft_count,A,4,634.0,634.0,670.140730948272,670.140730948272,680.2594195798968,0.0,0.0,0.0,0.0,634.0,664.0,670.2594195798968,860.2594195798968,300.0,645.4328103924677,0.0,1,1,0,0
S002,aircraft_count,A,5,34.0,34.0,94.89459404843326,94.89459404843326,124.31961074006223,0.0,0.0,0.0,0.0,34.0,64.0,114.31961074006223,304.3196107400622,300.0,1173.253136042452,0.0,0,0,0,0
S002,aircraft_count,A,6,892.0,1015.0382825903002,1062.4250422509106,1062.4250422509106,1082.0193705732624,123.03828259030024,123.03828259030024,0.0,123.03828259030024,1015.0382825903002,1045.0382825903002,1072.0193705732624,1262.0193705732624,300.0,1310.328543549433,0.0,3,3,0,0
S002,aircraft_count,A,7,258.0,304.3196107400622,338.7689122155321,338.7689122155321,370.3379999253108,46.31961074006222,46.31961074006222,0.0,46.31961074006222,304.3196107400622,334.3196107400622,360.3379999253108,550.3379999253108,300.0,639.9228409297657,0.0,0,0,0,0
S002,aircraft_count,A,8,702.0,702.0,734.1544432257568,734.1544432257568,762.9692060255313,0.0,0.0,0.0,0.0,702.0,732.0,752.9692060255313,942.9692060255313,300.0,473.160666398869,0.0,0,0,0,0
S002,aircraft_count,A,9,178.0,178.0,220.86520676654195,220.86520676654195,230.98389539816677,0.0,0.0,0.0,0.0,178.0,208.0,220.98389539816677,410.98389539816674,300.0,961.5134854912357,0.0,2,2,0,0
S003,aircraft_count,A,0,368.0,582.823959400221,599.1152825447175,599.1152825447175,621.565048223073,214.82395940022104,214.82395940022104,0.0,214.82395940022104,582.823959400221,612.823959400221,611.565048223073,801.565048223073,300.0,805.2609262509708,0.0,0,0,0,0
S003,aircraft_count,A,1,547.0,612.823959400221,622.3771018930886,912.3771018930886,945.6896517593831,65.82395940022104,65.82395940022104,290.0,355.82395940022104,612.823959400221,642.823959400221,935.6896517593831,1125.6896517593832,300.0,410.36280374873326,0.0,0,0,0,0
S003,aircraft_count,A,2,689.0,689.0,723.2296142463356,913.4291083257743,919.8033155437296,0.0,0.0,190.19949407943875,190.19949407943875,689.0,719.0,913.4291083257743,1103.4291083257745,300.0,637.3135587734082,0.0,0,0,0,0
S003,aircraft_count,A,3,35.0,35.0,83.01992439271972,83.01992439271972,116.33247425901425,0.0,0.0,0.0,0.0,35.0,65.0,106.33247425901425,296.33247425901425,300.0,534.4395638258545,0.0,0,0,0,0
S003,aircraft_count,A,4,366.0,552.823959400221,568.6221736539934,568.6221736539934,599.2914294539739,186.82395940022104,186.82395940022104,0.0,186.82395940022104,552.823959400221,582.823959400221,589.2914294539739,779.2914294539739,300.0,813.4844508108185,0.0,0,0,0,0
S003,aircraft_count,A,5,148.0,148.0,157.55314249286752,303.01992439271976,336.3324742590143,0.0,0.0,145.4667818998522,145.4667818998522,148.0,178.0,326.33247425901425,516.3324742590142,300.0,410.36280374873326,0.0,0,0,0,0
S003,aircraft_count,A,6,731.0,1065.858508997967,1084.898234768531,1131.7380671221722,1177.6859289333117,334.85850899796696,334.85850899796696,46.839832353641214,381.6983413516082,1065.858508997967,1095.858508997967,1167.6859289333117,1357.6859289333117,300.0,1124.875472132647,0.0,1,1,0,0
S003,aircraft_count,A,7,307.0,522.823959400221,532.3771018930886,532.3771018930886,565.6896517593831,215.82395940022104,215.82395940022104,0.0,215.82395940022104,522.823959400221,552.823959400221,555.6896517593831,745.6896517593831,300.0,410.36280374873326,0.0,0,0,0,0
S003,aircraft_count,A,8,424.0,424.0,482.9198218255848,875.8585089979671,881.9262747540857,0.0,0.0,392.9386871723823,392.9386871723823,424.0,454.0,875.8585089979671,1065.858508997967,300.0,1124.875472132647,0.0,1,1,0,0
S003,aircraft_count,A,9,824.0,1125.6896517593832,1162.18113690059,1293.4291083257745,1299.8033155437297,301.6896517593832,301.6896517593832,131.24797142518446,432.93762318456766,1125.6896517593832,1155.6896517593832,1293.4291083257745,1483.4291083257745,300.0,410.36280374873326,0.0,0,0,0,0
S003,aircraft_count,A,10,4.0,4.0,22.965217074810752,22.965217074810752,50.152218594898336,0.0,0.0,0.0,0.0,4.0,34.0,40.152218594898336,230.15221859489833,300.0,1026.1039242938405,0.0,1,1,0,0
S003,aircraft_count,A,11,4.0,34.0,43.83509465375468,43.83509465375468,82.96313737704288,30.0,30.0,0.0,30.0,34.0,64.0,72.96313737704288,262.96313737704287,300.0,477.13430223943806,0.0,1,1,0,0
S003,aircraft_count,A,12,681.0,892.9631373770428,941.7380671221723,941.7380671221723,987.6859289333117,211.9631373770428,211.9631373770428,0.0,211.9631373770428,892.9631373770428,922.9631373770428,977.6859289333117,1167.6859289333117,300.0,1068.505324128222,0.0,0,0,0,0
S003,aircraft_count,A,13,891.0,1012.9631373770428,1063.4291083257745,1483.4291083257745,1489.8033155437297,121.96313737704281,121.96313737704281,420.0,541.9631373770428,1012.9631373770428,1042.9631373770428,1483.4291083257745,1673.4291083257745,300.0,983.3731314024405,0.0,0,0,0,0
S003,aircraft_count,A,14,89.0,89.0,118.80821259803061,118.80821259803061,149.47746839801113,0.0,0.0,0.0,0.0,89.0,119.0,139.47746839801113,329.4774683980111,300.0,756.1582353700242,0.0,1,1,0,0
S003,aircraft_count,A,15,556.0,642.823959400221,660.5360948436196,673.8350946537546,712.9631373770428,86.82395940022104,86.82395940022104,13.298999810135001,100.12295921035604,642.823959400221,672.823959400221,702.9631373770428,892.9631373770428,300.0,983.3731314024405,0.0,0,0,0,0
S003,aircraft_count,A,16,802.0,1095.858508997967,1107.7635299513406,1107.7635299513406,1138.432785751321,293.85850899796696,293.85850899796696,0.0,293.85850899796696,1095.858508997967,1125.858508997967,1128.432785751321,1318.432785751321,300.0,572.8354542641691,0.0,0,0,0,0
S003,aircraft_count,A,17,890.0,982.9631373770428,1031.7380671221722,1511.7380671221722,1557.6859289333117,92.96313737704281,92.96313737704281,480.0,572.9631373770428,982.9631373770428,1012.9631373770428,1547.6859289333117,1737.6859289333117,300.0,1068.505324128222,0.0,0,0,0,0
S003,aircraft_count,A,18,112.0,296.33247425901425,332.82395940022104,332.82395940022104,339.1981666181763,184.33247425901425,184.33247425901425,0.0,184.33247425901425,296.33247425901425,326.33247425901425,332.82395940022104,522.823959400221,300.0,410.36280374873326,0.0,0,0,0,0
S003,aircraft_count,A,19,176.0,178.0,193.79821425377233,308.80821259803065,339.4774683980112,2.0,2.0,115.00999834425829,117.00999834425829,178.0,208.0,329.4774683980111,519.4774683980111,300.0,813.4844508108185,0.0,0,0,0,0
